ID,Title,IsMarkScan,Image,Data,ShortDes,CaseURL,Source,Source URL (if applicable),Related Part (if applicable),Added By,Display,MarkType,EncodingChannel,BodyMovement,Locomotion,MovingSubjects,ProgressReview,LocusofControl,SkippingTool,Anchor,Note
1,Wealth shown to scale,1,C1,The wealth data of the richest people in USA.,"It encodes the wealth data of the median US household income, Jeff Bezos, and the richest 400 Americans using a linear scale of $1 per pixel. Each data item is represented by a rectangle. All data items are lined up horizontally. audience use keyboard interaction to scroll from left to right to fully view each data item. There is a scroll bar in the bottom such that the audience can Jump or skip the scrolling.",https://mkorostoff.github.io/1-pixel-wealth/,Encounter Online,-,-,,Screen,Area,Area,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,Familiar Concepts,Compare wealth with cancer curation fee
2,8 BILLION people in perspective,1,C2,The world pupulation when it reaches 8 billion.,The video presents the world population. A camera with the overhead angle moving backward reveals 3D human models that represent all humans forming a giant square. There are models of city buildings and famous landmarks like Eiffel Tower scaled to compare with the human crowds. The video ends with an overview of the square.,https://www.youtube.com/watch?v=Sxejy6jd_zc,Encounter Online,-,The Vis in the Beginning,,Screen,"Area, Pictogram",Area,Scroll,Stationary,Moving visualization only,None,Author-driven,"Skip, Jump",Familiar Objects,
3,"Risk, cycling and denominator neglect",1,C3,Number of bike tirps and trip incidents in 2012 in Greater London.,"In this visualization, every human icons represents a trip a bicycle. It shows all bicycle journeys made in 2012 in Greater London. 25,000 trips on a bicycle are grouped as a block, the average number of trips made every hour in Greater London. Every 13 blocks are grouped in a larger block, representing 325,000 journeys which averagely has 1 serious injury. The audience can scrolled down to see the whole visualization.",https://web.archive.org/web/20221206154157/https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,Encounter Online,-,The Vis in the End,,Screen,"Area, Pictogram",Area,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,None,
4,Yale's $32 Billion endowment compared to its paltry $13 million contribution to the city of New Haven,1,C4,Yale's $32 Billion endowment compared to its paltry $13 million contribution to the city of New Haven.,"The visualization is a bidirectional bar chart on the ground. One side of it is the bar that represents Yale's $32 billion endowment, while the other side is the bar that represents Yale's paltry $13 million contribution to the city of New Haven. The audiences walk along side the bar to sense how long the bar is.",https://x.com/DavarianBaldwin/status/1388840756895526912,Encounter Online,-,-,,Physical medium,Area,Length,Walk,Physical Locomotion,Moving viewers only,None,User-driven,None,None,
5,Musée de l'Homme timeline,1,C5,,,https://photos.app.goo.gl/NXDXytV2GacZCeB87,Museum and Exhibition,-,-,,Screen,Line,Length,Rotate,Stationary,Moving visualization only,None,User-driven,None,None,
6,The historical cost of light,1,C6,How long people need to work to afford the cost of an hour's light in different centries.,"Each pixel the audience scroll through is equivalent to a second of work for an average waged worker in America. The audience will try how long they need to scroll to gain an hour of lumination based on the salary in 2020,1800s, and 2000BC.",https://pudding.cool/2020/12/lighting-cost/,Related Work,https://idvxlab.com/papers/2021CHI_DataStory_Lan.pdf,-,Leni,Screen,Line,Length,Scroll,Stationary,Moving visualization only,None,User-driven,None,Familiar Concepts,
7,Hiking path of the solar system,1,C7,The sizes of planets in the solar system and the distances between them.,"The path is designed on a scale of 1:1 billion and thus offers a clear representation of the sizes and distances in the solar system . One meter of the model corresponds to one million kilometers in reality. The planetary path includes not only the planets Mercury , Venus , Earth , Mars , Jupiter , Saturn , Uranus and Neptune , but also the dwarf planets Ceres and Pluto .",https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Encounter Online,-,-,,Physical medium,Line,Length,Walk,Physical Locomotion,Moving viewers only,None,User-driven,None,Familiar Objects,The data be understood through lengthy is the distance
8,Trail of Time,1,C8,The time of the Grand Canyon's geologic history mapped into walking distances in the Grand Canyon.,"""The start of the Trail of Time is at Yavapai Geology Museum, a half hour walk from Mather Point and the Canyon View Visitor Center."" Visitors ""will start by walking the 'Million Year Trail', which transitions from human time scales to geologic ones. The 'Million Year Trail' is immediately followed by the main Trail of Time where each meter equals one million years of Grand Canyon's geologic history. This fully accessible one hour walking trip provides breath taking vistas of Grand Canyon and allows you to ponder and understand the depths of geologic space and time.""",https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm,Related Work,https://arxiv.org/abs/2404.01485,-,,Physical medium,Line,Length,Walk,Physical Locomotion,Moving viewers only,None,User-driven,None,Familiar Objects,
9,The Fallen of World War II,1,C9,The number of death caused by World War II in different countries.,"Starting from 05:43, the camera moves up to reveal a long bar representing the death number of the Russian military during WWII. When the camerve moves up, a zoom out movement is accompanying.",https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,Encounter Online,,9min15s,,Screen,"Pictogram, Area",Length,Nonmovement,Stationary,Moving viewers only,None,Author-driven,None,None,combined with zoom
10,The Deep Sea,1,C10,How deep different marine animals live in the sea.,"As the audience scroll down, the audience see the cutout images of marine animals at deeper level of the sea. A horizental line at the bottom part with a number show to suggest how many meters deep the position of the line represents. ",https://neal.fun/deep-sea/,Encounter Online,,,,Screen,Line,Length,Scroll,Stationary,Moving visualization only,Counter,User-driven,Jump,None,"lengthy pan is for depth of sea, but vis is for both depth and animals"
