ID,Title,Collection Stage,Brief_Description,Short_Des,Image,Data,Link,Display,Spatial_Channel,Visceral_Channel,Source,Viewer_Locomotion_Mode,Mark_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,General_Startegies,Note,Related Part (if applicable),"Start Time (e.g., 11:15)","End Time (E.g., 11:30)"
C1,Wealth Shown To Scale,Initialization,"Scrollable long blocks, representing wealth of richests people in USA","It encodes the wealth data of the median US household income, Jeff Bezos, and the richest 400 Americans using a linear scale of $1 per pixel. Each data item is represented by a rectangle. All data items are lined up horizontally. audience use keyboard interaction to scroll from left to right to fully view each data item. There is a scroll bar in the bottom such that the audience can Jump or skip the scrolling.",C1,The wealth data of the richest people in USA.,https://eattherichtextformat.github.io/1-pixel-wealth/,2D screens,"Length, Area","Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,"Visual, Verbal","Physical, Data",Informative,Interactive panning,,-,15:48,15:58
C2,8 Billion People In Perspective,Initialization,"A 3D animations where the camera moves through the entire world population as a huge
crowd assembled in a vast area",The video presents the world population. A camera with the overhead angle moving backward reveals 3D human models that represent all humans forming a giant square. There are models of city buildings and famous landmarks like Eiffel Tower scaled to compare with the human crowds. The video ends with an overview of the square.,C2,The world pupulation when it reaches 8 billion.,https://www.youtube.com/watch?v=Sxejy6jd_zc,2D screens,Area,Time,Encounter Online,Stationary,Moving,None,None,Speed Up,Visual,"Physical, Data",None,Animated panning,- it is the camera moving. so the mark is still?,The Vis in the Beginning,13:51,13:53
C3,"Risk, Cycling And Denominator Neglect",Initialization,Scrollable cluster of blocks representing bike journeys,"In this visualization, every human icons represents a trip a bicycle. It shows all bicycle journeys made in 2012 in Greater London. 25,000 trips on a bicycle are grouped as a block, the average number of trips made every hour in Greater London. Every 13 blocks are grouped in a larger block, representing 325,000 journeys which averagely has 1 serious injury. The audience can scrolled down to see the whole visualization.",C3,Number of bike trips and trip incidents in 2012 in Greater London.,https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,None,Interactive panning,- kind of boring case. And the key message is not about sense the magnitude but finding specific data points burried in a large mark,The Vis in the End,15:21,15:22
C4,Yale'S $32 Billion Endowment,Initialization,"A 200-meter-long strip painted on a street, comparing Yale University’s its $32 billion endowment to
its contributions to its home city of New Haven","The visualization is a bidirectional bar chart on the ground. One side of it is the bar that represents Yale's $32 billion endowment, while the other side is the bar that represents Yale's paltry $13 million contribution to the city of New Haven. The audiences walk along side the bar to sense how long the bar is.",C4,Yale's $32 Billion endowment compared to its paltry $13 million contribution to the city of New Haven.,https://x.com/DavarianBaldwin/status/1388840756895526912,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,None,None,Unsure,Physical,None,Walkable marks,,-,,
C5,Des Dinosaures À L'Homme (From Dinosaurs To Humans),Initialization,An animated timeline visualization of the universe in a monitor goes forward as the viewer turns the crank ,Museum visitors are invited to turn a handle to explore major events from the first appearance of dinosaurs to their extinction and going on to the appearance of human ancestors up to today. The scale used is linear so that it requires a long time to navigate from the time of dinosaurs to the modern time.,C5,Timeline of major events from the beginnings of dinosaurs to today,https://www.fleurdepapier.com/realisations/2015/musee-de-l-homme/des-dinosaures-a-l-homme/,2D screens,Length,"Effort, Time",Museum and Exhibition,Stationary,Moving,Upper limb ,Counter,Speed Up,Unsure,None,None,Interactive panning,,-,,
C6,The Historical Cost Of Light,Initialization,Scrollable pixels representing the cost of light during different eras,"Each pixel the audience scroll through is equivalent to a second of work for an average waged worker in America. The audience will try how long they need to scroll to gain an hour of lumination based on the salary in 2020,1800s, and 2000BC.",C6,How long people need to work to afford the cost of an hour's light in different centries.,https://pudding.cool/2020/12/lighting-cost/,2D screens,Area,Time,Related Work,Stationary,Moving,Finger and hand ,Counter,Speed Up,None,None,"Informative, Filler",Interactive panning,- it is an unusual mapping from time to pixels to time. it's abstract to understand sometime.,-,15:40,15:44
C7,Hiking Path Of The Solar System,Initialization,A hiking trail featuring a scale model of the solar system where every meter corresponds to one million kilometers of actual distance.,"The path is designed on a scale of 1:1 billion and thus offers a clear representation of the sizes and distances in the solar system. One meter of the model corresponds to one million kilometers in reality. The planetary path includes not only the planets Mercury , Venus , Earth , Mars , Jupiter , Saturn , Uranus and Neptune , but also the dwarf planets Ceres and Pluto .",C7,The sizes of planets in the solar system and the distances between them.,https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,Milestones,None,Unsure,Physical,Informative,Walkable marks,"- For I cannot experience the case myself, some designs are unknown",-,,
C8,Trail Of Time,Initialization,Walkable path illustrating the time elapsed leading to the Great Canyon formation,"""The start of the Trail of Time is at Yavapai Geology Museum, a half hour walk from Mather Point and the Canyon View Visitor Center."" Visitors ""will start by walking the 'Million Year Trail', which transitions from human time scales to geologic ones. The 'Million Year Trail' is immediately followed by the main Trail of Time where each meter equals one million years of Grand Canyon's geologic history. This fully accessible one hour walking trip provides breath taking vistas of Grand Canyon and allows you to ponder and understand the depths of geologic space and time.""",C8,The time of the Grand Canyon's geologic history mapped into walking distances in the Grand Canyon.,https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm,Physical media,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,Milestones,None,Unsure,Physical,Informative,Walkable marks,,-,,
C9,The Fallen Of World War Ii,Initialization,Video moving along vertical bars representing the number of death soldiers during World War II,"Starting from 05:43, the camera moves up to reveal a long bar representing the death number of the Russian military during WWII. When the camerve moves up, a zoom out movement is accompanying.",C9,The number of death caused by World War II in different countries.,https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,2D screens,Length,None,Encounter Online,Stationary,Moving,None,None,Speed Up,None,None,Informative,Animated panning,,9min15s,15:38,15:39
C10,The Deep Sea,Initialization,A scrollable infographics showing how deep the sea is and animals living at different depth levels,"As the audience scroll down, the audience see the cutout images of marine animals at deeper level of the sea. A horizental line at the bottom part with a number show to suggest how many meters deep the position of the line represents. ",C10,How deep different marine animals live in the sea.,https://neal.fun/deep-sea/,2D screens,Length,Time,Encounter Online,Stationary,Moving,Finger and hand ,Counter,"Jump, Speed Up",None,None,Informative,Interactive panning,,,15:12,15:20
C11,The Actual Number Of Americans Jailed Or Imprisoned,Initialization,Scrollable pictograms representing the actual number of Americans imprisoned,"In the website, every human icon represents an America in jail (the collected data time is unsure). As the audience scroll down, the accumulative number of people icons has been shown is updated at the right top corner of the website. The website also overlay related statistics, facts and charts in front of the human icon background to give more details.",C11,Statistics related to Americans in jailed.,https://mkorostoff.github.io/incarceration-in-real-numbers/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,Informative,Interactive panning,- Maybe we should say there is a minimal differentiable efforts/time to say a case is binded to time/efforts,,11:15,11:30
C12,A Virtual Reality 360 Experience Case From An Experiment,Initialization,Video of a bar charts representing tea production per country.,"A 360° VR video where viewers explore a 3D bar chart from a spaceship. Bars, scaled as 1x1m tea cubes, rise in real-world proportions. The ship moves dynamically, including upward, for optimal viewing. The case is downloaded from: https://immersivedatavideo.github.io/",C12,The amount of tea production by countries.,"https://drive.google.com/file/d/10Uh-UaGk77gfJarSN0In-FlPuOEtlIoG/view 
",Virtual reality (VR) displays,Length,Time,Related Work,Virtual locomotion,Still,None,None,"Speed Up, Jump",Visual,Physical,None,Animated panning,"- For anchor, I labeled visual, as I have another version of this video with anchors but no large camera movement",The video named as Bar-Chart-Anchor-Condition,13:00,13:02
C13,The Incredible Depth Of Earth Layers,Expansion,Animated video of a bar representing the depth of the Earth and its layers.,,C13,,https://www.youtube.com/watch?v=OzuKknkJt-I,2D screens,Length,Time,Encounter Online,Stationary,Moving,None,"Milestones, Counter",Speed Up,Visual,"Data, Physical",Informative,Mark building up,,,,
C14,All People On One Page,Initialization,Scrollable area covered in pictograms representing the current world population.,"Each human icon in the website represents one human. At the top is the estimated number of people living on Earth, updated in real-time. The website adding new icons at the top from let to right. The audience scrolls down and left/right to look through all icons. When the mouse is hovered in an icon, a tooltip next to the cursor shows the total number of people born until that icon is generated.",C14,The number of people living on Earth.,https://www.worldometers.info/watch/world-population/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,"Speed Up, Jump",None,None,None,Interactive panning,,-,,
C15,Death In Syria,Initialization,Scrollable area covered in dots representing killed people during the syrian civil war.,Each red dot represents a peron got killed in the war.,C15,"The number of people killed in the four-and-a-half-year Syrian civil war (reported at Sept.14, 2015).",https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,2D screens,Area,None,Encounter Online,Stationary,Moving,Finger and hand ,None,None,None,None,Informative,Interactive panning,,The Vis in the Beginning,15:42,15:43
C16,7 Billion People On 1 Page,Initialization,"Scrollable unit visualization where each icon represents an individual in the world, colored according to their continent of residence",Each human icon in the website represents one human. Different colors represents different continents. The audience can scroll vertically and horizontally to look through all icons.,C16,Number of people in the world when it reaches seven billion.,https://www.7billionworld.com/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,"Jump, Speed Up",None,None,None,Interactive panning,- I ended in 3mins becuase that's when I felt boring and lost. It can be a typical example that without narratives or other enhances.,,13:03,13:06
C17,Du Papier Toilette (Oui Oui...),Initialization,Urolling a toilet paper roll to compare sizes of different digital media presented by the length of paper sheets ,"""I start with a sheet representing 60 MB and cut it in 2 several times to give different sizes until I get to an email without attachments.

Then I ask the assembly how many sheets would be needed for 1 hour of video on Netflix in HD. I unroll and give the answer, stopping at 50 sheets (3 GB).""",C17,What is the size of different digital media in KB?,https://limitesnumeriques.fr/sensibiliser/Animated panning-numerique-responsable/demontage-conference,Physical media,Length,Time,Encounter Online,Physical locomotion,Moving,Full-body ,Compressed View,None,None,None,None,Mark building up,,,,
C18,All Of The World’S Money And Markets In One Visualization,Expansion,Scrollable visualization of squares representing world's money,"In the visualization, each square represents $100 billion. It shows the world's money and market distributted in different categories like countries, continents, sectors and so on.",C18,Wealth data,https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2020/,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,Informative,Interactive panning,,,13:36,13:39
C19,If The Moon Were One Pixel,Expansion,"Planets of the  solar system is laid out left-to-right, using a “moon = 1 pixel” scale","Moon is scaled as a pixel in the screen. Based on this scale, the visualization presents planets in the solar system from left to right. The users can horizontally scroll the website to examine the distances between different planets and their sizes. ",C19,Planet distances and sizes,https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,"Progress Bar, Counter, Milestones","Speed Up, Jump",Verbal,"Data, Physical","Informative, Filler",Interactive panning,"- ""In case you're wondering, you'd need about 2000 feature-length movies to occupy that many waking hours."", ""You would need 665 of these screens lined up side-by-side to show this whole map at once"". It has many interesting narratives to keep me scrolling. i ended up with draging the progress bar and stop whenever there is a text",,14:10,14:30
